Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,38544,1420,31048,6076,24,3.68,80.55,4.57,38928341,990.0,39341,458,1.16
Albania,10704,322,6284,4098,151,3.01,58.71,5.12,2877800,3720.0,14266,1133,7.94
Algeria,47216,1581,33379,12256,278,3.35,70.69,4.74,43851043,1077.0,52136,936,1.8
Andorra,1301,53,938,310,40,4.07,72.1,5.65,77265,16838.0,2110,586,27.77
Angola,3092,126,1245,1721,59,4.08,40.27,10.12,32866268,94.0,5402,964,17.85
Antigua and Barbuda,95,3,91,1,0,3.16,95.79,3.3,97928,970.0,107,4,3.74
Argentina,512293,10658,382490,119145,12259,2.08,74.66,2.79,45195777,11335.0,798486,95720,11.99
Armenia,45152,905,41023,3224,199,2.0,90.86,2.21,2963234,15237.0,52496,3955,7.53
Australia,26524,788,22863,2873,59,2.97,86.2,3.45,50919400,521.0,27148,137,0.5
Austria,30583,747,25764,4072,502,2.44,84.24,2.9,9006400,3396.0,48146,7173,14.9
Azerbaijan,37732,555,35119,2058,175,1.47,93.07,1.58,10139175,3721.0,40691,1291,3.17
Bahamas,2721,63,1183,1475,136,2.32,43.48,5.33,393248,6919.0,4409,669,15.17
Bahrain,57450,203,51819,5428,672,0.35,90.2,0.39,1701583,33763.0,72662,2952,4.06
Bangladesh,331078,4593,230804,95681,1827,1.39,69.71,1.99,164689383,2010.0,368690,9576,2.6
Barbados,180,7,156,17,0,3.89,86.67,4.49,287371,626.0,199,9,4.52
Belarus,73402,726,71999,677,194,0.99,98.09,1.01,9449321,7768.0,79852,3682,4.61
Belgium,89691,9917,18635,61139,550,11.06,20.78,53.22,11589616,7739.0,130235,32023,24.59
Belize,1365,18,326,1021,4,1.32,23.88,5.52,397621,3433.0,2131,400,18.77
Benin,2242,40,1793,409,29,1.78,79.97,2.23,12123198,185.0,2357,54,2.29
Bhutan,234,0,155,79,0,0.0,66.24,0.0,771612,303.0,298,11,3.69
Bolivia,123345,7146,77216,38983,1037,5.79,62.6,9.25,11673029,10567.0,136868,1706,1.25
Bosnia and Herzegovina,22258,675,15208,6375,297,3.03,68.33,4.44,3280815,6784.0,28354,2293,8.09
Botswana,2126,9,493,1624,0,0.42,23.19,1.83,2351625,904.0,3172,47,1.48
Brazil,4197889,128539,3611632,457718,35816,3.06,86.03,3.56,422706534,9931.0,4915289,179690,3.66
Brunei,145,3,139,3,0,2.07,95.86,2.16,437483,331.0,146,0,0.0
Bulgaria,17435,702,12474,4259,122,4.03,71.55,5.63,6948445,2509.0,21587,2815,13.04
Burkina Faso,1476,56,1118,302,10,3.79,75.75,5.01,20903278,71.0,2167,104,4.8
Burma,2009,14,553,1442,202,0.7,27.53,2.53,54409800,37.0,17794,10180,57.21
Burundi,466,1,374,91,0,0.21,80.26,0.27,11890781,39.0,513,11,2.14
Cabo Verde,4473,43,3915,515,73,0.96,87.53,1.1,555988,8045.0,6360,712,11.19
Cambodia,274,0,273,1,0,0.0,99.64,0.0,16718971,16.0,278,5,1.8
Cameroon,19848,415,18448,985,0,2.09,92.95,2.25,26545864,748.0,20924,279,1.33
Canada,136135,9204,119789,7142,378,6.76,87.99,7.68,75711404,1798.0,168501,15902,9.44
Central African Republic,4736,62,1825,2849,1,1.31,38.53,3.4,4829764,981.0,4845,9,0.19
Chad,1048,79,931,38,3,7.54,88.84,8.49,16425859,64.0,1217,87,7.15
Chile,427027,11702,399555,15770,1486,2.74,93.57,2.93,36692988,11638.0,470179,11192,2.38
China,90100,4733,84957,410,13,5.25,94.29,5.57,-2147483648,-42.0,90629,183,0.2
Colombia,686851,22053,552885,111913,15318,3.21,80.5,3.99,99141018,6928.0,855052,56264,6.58
Comoros,456,7,415,34,0,1.54,91.01,1.69,869595,524.0,487,8,1.64
Congo (Brazzaville),4891,114,3887,890,0,2.33,79.47,2.93,89561403,55.0,5089,29,0.57
