age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,poutcome,cons.price.idx,cons.conf.idx,euribor3m,y
56,3,0,2,2,1,2,0,0,0,261,1,999,0,93.994,-36.4,4.857,0
57,1,0,3,1,1,2,0,0,0,149,1,999,0,93.994,-36.4,4.857,0
37,1,0,3,2,2,2,0,0,0,226,1,999,0,93.994,-36.4,4.857,0
40,8,0,1,2,1,2,0,0,0,151,1,999,0,93.994,-36.4,4.857,0
56,1,0,3,2,1,1,0,0,0,307,1,999,0,93.994,-36.4,4.857,0
45,1,0,0,1,1,2,0,0,0,198,1,999,0,93.994,-36.4,4.857,0
59,8,0,4,2,1,2,0,0,0,139,1,999,0,93.994,-36.4,4.857,0
41,0,0,6,1,1,2,0,0,0,217,1,999,0,93.994,-36.4,4.857,0
24,5,2,4,2,2,2,0,0,0,380,1,999,0,93.994,-36.4,4.857,0
25,1,2,3,2,2,2,0,0,0,50,1,999,0,93.994,-36.4,4.857,0
41,0,0,6,1,1,2,0,0,0,55,1,999,0,93.994,-36.4,4.857,0
25,1,2,3,2,2,2,0,0,0,222,1,999,0,93.994,-36.4,4.857,0
29,0,2,3,2,1,1,0,0,0,137,1,999,0,93.994,-36.4,4.857,0
57,3,1,2,2,2,2,0,0,0,293,1,999,0,93.994,-36.4,4.857,0
35,0,0,1,2,2,2,0,0,0,146,1,999,0,93.994,-36.4,4.857,0
54,10,0,0,1,2,1,0,0,0,174,1,999,0,93.994,-36.4,4.857,0
35,0,0,1,2,2,2,0,0,0,312,1,999,0,93.994,-36.4,4.857,0
46,0,0,1,1,2,1,0,0,0,440,1,999,0,93.994,-36.4,4.857,0
50,0,0,0,2,2,1,0,0,0,353,1,999,0,93.994,-36.4,4.857,0
39,7,2,0,1,1,2,0,0,0,195,1,999,0,93.994,-36.4,4.857,0
30,9,0,3,2,1,2,0,0,0,38,1,999,0,93.994,-36.4,4.857,0
55,0,0,2,1,2,2,0,0,0,262,1,999,0,93.994,-36.4,4.857,0
55,10,2,3,2,2,2,0,0,0,342,1,999,0,93.994,-36.4,4.857,0
41,5,2,3,2,2,2,0,0,0,181,1,999,0,93.994,-36.4,4.857,0
37,8,0,3,2,2,2,0,0,0,172,1,999,0,93.994,-36.4,4.857,0
35,5,0,5,2,1,1,0,0,0,99,1,999,0,93.994,-36.4,4.857,0
59,5,0,6,2,2,2,0,0,0,93,1,999,0,93.994,-36.4,4.857,0
39,4,0,0,1,1,2,0,0,0,233,1,999,0,93.994,-36.4,4.857,0
54,5,2,5,1,1,2,0,0,0,255,2,999,0,93.994,-36.4,4.857,0
55,6,0,5,1,0,0,0,0,0,362,1,999,0,93.994,-36.4,4.857,0
46,8,0,6,2,1,2,0,0,0,348,1,999,0,93.994,-36.4,4.857,0
59,5,0,6,2,2,2,0,0,0,386,1,999,0,93.994,-36.4,4.857,0
49,0,0,6,2,1,2,0,0,0,73,1,999,0,93.994,-36.4,4.857,0
54,7,0,2,1,2,2,0,0,0,230,1,999,0,93.994,-36.4,4.857,0
54,0,1,2,2,1,2,0,0,0,208,1,999,0,93.994,-36.4,4.857,0
55,6,0,2,1,2,2,0,0,0,336,1,999,0,93.994,-36.4,4.857,0
34,1,0,3,2,1,2,0,0,0,365,1,999,0,93.994,-36.4,4.857,0
52,5,0,0,2,2,2,0,0,0,1666,1,999,0,93.994,-36.4,4.857,0
41,8,0,5,2,2,2,0,0,0,577,1,999,0,93.994,-36.4,4.857,0
56,5,0,2,2,2,2,0,0,0,137,1,999,0,93.994,-36.4,4.857,0
